Category: All categories

Month,U.F.O.: (United States)
2004-01,0
2004-02,0
2004-03,59
2004-04,60
2004-05,100
2004-06,50
2004-07,0
2004-08,49
2004-09,42
2004-10,62
2004-11,0
2004-12,0
2005-01,35
2005-02,78
2005-03,68
2005-04,58
2005-05,0
2005-06,37
2005-07,39
2005-08,32
2005-09,48
2005-10,43
2005-11,26
2005-12,30
2006-01,44
2006-02,33
2006-03,49
2006-04,39
2006-05,41
2006-06,30
2006-07,27
2006-08,31
2006-09,33
2006-10,30
2006-11,32
2006-12,37
2007-01,47
2007-02,17
2007-03,33
2007-04,38
2007-05,26
2007-06,28
2007-07,20
2007-08,38
2007-09,32
2007-10,19
2007-11,35
2007-12,32
2008-01,73
2008-02,47
2008-03,36
2008-04,37
2008-05,34
2008-06,22
2008-07,31
2008-08,23
2008-09,22
2008-10,30
2008-11,27
2008-12,27
2009-01,19
2009-02,22
2009-03,29
2009-04,28
2009-05,35
2009-06,17
2009-07,13
2009-08,20
2009-09,16
2009-10,27
2009-11,16
2009-12,23
2010-01,12
2010-02,16
2010-03,25
2010-04,15
2010-05,18
2010-06,16
2010-07,20
2010-08,12
2010-09,11
2010-10,16
2010-11,16
2010-12,14
2011-01,17
2011-02,15
2011-03,16
2011-04,9
2011-05,16
2011-06,8
2011-07,10
2011-08,11
2011-09,10
2011-10,24
2011-11,16
2011-12,15
2012-01,13
2012-02,16
2012-03,9
2012-04,10
2012-05,10
2012-06,14
2012-07,12
2012-08,12
2012-09,12
2012-10,10
2012-11,10
2012-12,11
2013-01,29
2013-02,16
2013-03,7
2013-04,8
2013-05,8
2013-06,8
2013-07,6
2013-08,4
2013-09,9
2013-10,7
2013-11,7
2013-12,4
2014-01,10
2014-02,6
2014-03,7
2014-04,3
2014-05,5
2014-06,6
2014-07,6
2014-08,6
2014-09,5
2014-10,4
2014-11,6
2014-12,6
2015-01,4
2015-02,7
2015-03,5
2015-04,6
2015-05,4
2015-06,3
2015-07,4
2015-08,5
2015-09,4
2015-10,6
2015-11,7
2015-12,0
2016-01,8
2016-02,9
2016-03,5
2016-04,4
2016-05,8
2016-06,4
2016-07,5
2016-08,5
2016-09,5
2016-10,5
2016-11,5
2016-12,5
2017-01,4
2017-02,3
2017-03,3
2017-04,7
2017-05,3
2017-06,3
2017-07,5
2017-08,5
2017-09,5
2017-10,2
2017-11,3
2017-12,10
2018-01,7
2018-02,6
2018-03,6
2018-04,5
2018-05,4
2018-06,2
2018-07,5
2018-08,6
2018-09,4
2018-10,4
2018-11,4
2018-12,5
2019-01,6
2019-02,5
2019-03,4
2019-04,4
2019-05,5
2019-06,5
2019-07,5
2019-08,3
2019-09,5
2019-10,5
2019-11,4
2019-12,3
2020-01,5
2020-02,4
2020-03,4
2020-04,6
2020-05,4
2020-06,7
2020-07,12
2020-08,7
2020-09,6
2020-10,4
2020-11,5
2020-12,4
2021-01,5
2021-02,3
2021-03,3
2021-04,5
2021-05,6
2021-06,5
2021-07,0
2021-08,4
2021-09,6
2021-10,4
2021-11,2
2021-12,2
2022-01,3
2022-02,4
2022-03,3
2022-04,4
2022-05,7
2022-06,7
2022-07,3
2022-08,3
2022-09,2
2022-10,3
2022-11,3
2022-12,2
2023-01,3
2023-02,4
2023-03,3
2023-04,3
2023-05,3
2023-06,4
2023-07,3
2023-08,3
2023-09,0
2023-10,6
2023-11,3
2023-12,0
2024-01,3
2024-02,3
2024-03,3
2024-04,3
2024-05,3
2024-06,2
2024-07,2
2024-08,3
2024-09,0
2024-10,3
2024-11,4
2024-12,0
2025-01,2
2025-02,3
2025-03,3
2025-04,1
2025-05,2
