Category: All categories

Month,UFO: (United States),UFO sighting: (United States),UFOs: (United States),unidentified flying object: (United States)
2004-01,33,1,4,0
2004-02,31,1,4,0
2004-03,30,1,4,0
2004-04,30,1,4,0
2004-05,71,5,10,0
2004-06,32,1,3,0
2004-07,32,1,3,0
2004-08,29,1,3,0
2004-09,29,1,3,0
2004-10,30,1,4,0
2004-11,29,1,4,0
2004-12,30,1,4,0
2005-01,29,1,4,0
2005-02,42,1,6,0
2005-03,32,1,5,0
2005-04,28,1,4,0
2005-05,31,1,5,0
2005-06,37,1,4,0
2005-07,32,1,4,0
2005-08,28,1,3,0
2005-09,26,1,3,0
2005-10,28,1,3,0
2005-11,27,1,4,0
2005-12,29,1,4,0
2006-01,24,1,3,0
2006-02,24,1,3,0
2006-03,28,1,4,0
2006-04,24,<1,3,0
2006-05,24,1,3,0
2006-06,23,<1,3,0
2006-07,23,1,2,0
2006-08,23,1,3,0
2006-09,23,1,3,0
2006-10,22,<1,3,0
2006-11,22,1,3,0
2006-12,24,1,3,0
2007-01,50,4,4,0
2007-02,29,1,4,0
2007-03,34,1,4,0
2007-04,26,<1,3,0
2007-05,34,1,3,0
2007-06,36,1,3,0
2007-07,32,1,3,0
2007-08,44,1,4,0
2007-09,27,1,3,0
2007-10,30,1,3,0
2007-11,40,1,5,0
2007-12,32,1,4,<1
2008-01,100,9,7,<1
2008-02,48,2,4,0
2008-03,42,1,4,0
2008-04,42,2,5,<1
2008-05,45,1,5,0
2008-06,33,1,4,0
2008-07,40,1,5,0
2008-08,30,1,3,0
2008-09,29,1,3,0
2008-10,40,1,4,<1
2008-11,35,1,4,0
2008-12,29,1,3,0
2009-01,38,1,4,0
2009-02,37,1,3,0
2009-03,33,1,4,0
2009-04,33,1,4,<1
2009-05,33,1,3,0
2009-06,31,1,3,0
2009-07,29,1,3,0
2009-08,31,1,3,0
2009-09,32,1,3,0
2009-10,33,1,3,0
2009-11,28,1,3,0
2009-12,31,1,3,0
2010-01,26,1,3,0
2010-02,29,1,2,0
2010-03,31,1,3,0
2010-04,31,1,3,0
2010-05,35,1,3,<1
2010-06,26,1,2,0
2010-07,59,2,3,<1
2010-08,37,1,3,0
2010-09,34,1,4,<1
2010-10,75,5,7,<1
2010-11,32,1,3,<1
2010-12,34,1,3,<1
2011-01,34,1,3,0
2011-02,55,2,4,0
2011-03,38,2,4,0
2011-04,44,2,4,0
2011-05,31,1,3,0
2011-06,31,1,3,0
2011-07,34,1,3,0
2011-08,38,2,3,0
2011-09,36,1,3,0
2011-10,29,1,3,0
2011-11,28,1,3,0
2011-12,33,1,3,0
2012-01,31,1,2,0
2012-02,30,1,2,<1
2012-03,28,1,3,0
2012-04,30,1,3,0
2012-05,28,1,3,<1
2012-06,36,1,3,0
2012-07,34,1,4,0
2012-08,28,1,3,0
2012-09,26,1,3,<1
2012-10,28,1,2,<1
2012-11,32,1,3,<1
2012-12,29,1,3,<1
2013-01,24,1,2,0
2013-02,22,1,2,<1
2013-03,24,1,2,<1
2013-04,21,1,2,0
2013-05,24,1,2,0
2013-06,24,1,2,0
2013-07,43,1,2,0
2013-08,25,1,2,0
2013-09,24,1,2,0
2013-10,25,1,2,0
2013-11,22,1,2,<1
2013-12,21,1,2,<1
2014-01,25,1,2,0
2014-02,22,1,2,0
2014-03,28,1,2,<1
2014-04,25,1,2,<1
2014-05,25,1,2,0
2014-06,24,1,2,0
2014-07,26,1,2,0
2014-08,26,2,2,0
2014-09,22,1,2,<1
2014-10,23,1,2,<1
2014-11,20,1,2,0
2014-12,19,1,2,0
2015-01,25,1,2,0
2015-02,22,1,2,0
2015-03,20,1,2,0
2015-04,22,1,2,0
2015-05,22,1,2,<1
2015-06,19,1,2,0
2015-07,24,1,2,<1
2015-08,24,1,2,0
2015-09,23,1,2,0
2015-10,19,1,2,0
2015-11,64,4,2,<1
2015-12,21,1,2,<1
2016-01,22,1,2,<1
2016-02,21,1,2,<1
2016-03,20,1,2,0
2016-04,21,1,2,0
2016-05,22,1,2,0
2016-06,20,1,2,0
2016-07,23,1,2,<1
2016-08,20,1,1,0
2016-09,19,1,2,<1
2016-10,21,1,2,<1
2016-11,19,1,2,0
2016-12,18,1,1,<1
2017-01,21,1,1,<1
2017-02,19,1,2,<1
2017-03,17,1,2,<1
2017-04,18,1,2,<1
2017-05,18,1,2,<1
2017-06,17,<1,1,<1
2017-07,20,1,2,0
2017-08,17,<1,1,<1
2017-09,16,1,1,0
2017-10,16,<1,1,<1
2017-11,16,<1,1,<1
2017-12,60,4,4,<1
2018-01,21,1,2,<1
2018-02,16,1,1,<1
2018-03,24,1,2,<1
2018-04,18,1,1,<1
2018-05,16,1,1,<1
2018-06,17,1,1,0
2018-07,17,<1,1,0
2018-08,16,<1,1,0
2018-09,17,<1,1,<1
2018-10,17,1,1,<1
2018-11,18,1,1,<1
2018-12,17,<1,1,0
2019-01,17,1,2,<1
2019-02,15,<1,1,<1
2019-03,15,<1,1,<1
2019-04,16,<1,1,<1
2019-05,23,1,3,<1
2019-06,30,1,3,<1
2019-07,27,1,3,<1
2019-08,17,1,1,<1
2019-09,32,1,3,<1
2019-10,22,1,2,<1
2019-11,16,<1,1,<1
2019-12,17,1,1,<1
2020-01,19,1,2,<1
2020-02,17,1,1,<1
2020-03,16,<1,1,0
2020-04,58,2,10,<1
2020-05,46,2,7,<1
2020-06,26,2,3,<1
2020-07,46,2,6,<1
2020-08,26,1,3,<1
2020-09,33,2,2,<1
2020-10,18,1,2,0
2020-11,16,<1,1,<1
2020-12,27,1,2,<1
2021-01,37,1,3,<1
2021-02,28,2,2,<1
2021-03,21,1,2,<1
2021-04,38,2,3,<1
2021-05,59,2,9,<1
2021-06,59,1,8,<1
2021-07,28,1,3,<1
2021-08,25,1,3,<1
2021-09,17,<1,2,<1
2021-10,18,<1,2,<1
2021-11,19,<1,2,0
2021-12,19,1,2,<1
2022-01,19,1,2,<1
2022-02,18,1,2,<1
2022-03,16,<1,2,<1
2022-04,19,<1,2,<1
2022-05,29,1,3,<1
2022-06,21,1,2,<1
2022-07,22,1,2,<1
2022-08,25,1,3,<1
2022-09,20,1,3,<1
2022-10,22,1,2,<1
2022-11,19,<1,2,<1
2022-12,20,1,2,<1
2023-01,23,1,2,<1
2023-02,82,2,13,<1
2023-03,23,1,2,<1
2023-04,24,1,2,<1
2023-05,23,1,2,<1
2023-06,58,2,5,<1
2023-07,64,1,8,<1
2023-08,34,1,4,<1
