Category: All categories

Month,Alien abduction: (United States)
2004-01,20
2004-02,22
2004-03,24
2004-04,25
2004-05,24
2004-06,24
2004-07,25
2004-08,17
2004-09,24
2004-10,29
2004-11,26
2004-12,23
2005-01,23
2005-02,33
2005-03,23
2005-04,26
2005-05,27
2005-06,26
2005-07,26
2005-08,21
2005-09,21
2005-10,24
2005-11,23
2005-12,23
2006-01,21
2006-02,21
2006-03,18
2006-04,18
2006-05,18
2006-06,18
2006-07,17
2006-08,16
2006-09,14
2006-10,14
2006-11,15
2006-12,15
2007-01,15
2007-02,15
2007-03,18
2007-04,15
2007-05,17
2007-06,17
2007-07,15
2007-08,17
2007-09,15
2007-10,17
2007-11,17
2007-12,15
2008-01,22
2008-02,19
2008-03,19
2008-04,18
2008-05,17
2008-06,18
2008-07,19
2008-08,17
2008-09,15
2008-10,16
2008-11,17
2008-12,16
2009-01,16
2009-02,15
2009-03,16
2009-04,18
2009-05,16
2009-06,18
2009-07,18
2009-08,27
2009-09,28
2009-10,57
2009-11,100
2009-12,25
2010-01,29
2010-02,27
2010-03,56
2010-04,52
2010-05,42
2010-06,36
2010-07,38
2010-08,31
2010-09,24
2010-10,36
2010-11,28
2010-12,44
2011-01,33
2011-02,26
2011-03,28
2011-04,24
2011-05,27
2011-06,23
2011-07,23
2011-08,22
2011-09,22
2011-10,20
2011-11,17
2011-12,20
2012-01,22
2012-02,19
2012-03,20
2012-04,20
2012-05,24
2012-06,20
2012-07,22
2012-08,18
2012-09,20
2012-10,24
2012-11,22
2012-12,20
2013-01,17
2013-02,26
2013-03,24
2013-04,20
2013-05,25
2013-06,27
2013-07,30
2013-08,22
2013-09,18
2013-10,21
2013-11,28
2013-12,22
2014-01,24
2014-02,19
2014-03,40
2014-04,41
2014-05,31
2014-06,30
2014-07,25
2014-08,41
2014-09,26
2014-10,22
2014-11,23
2014-12,24
2015-01,26
2015-02,20
2015-03,21
2015-04,23
2015-05,24
2015-06,19
2015-07,22
2015-08,20
2015-09,21
2015-10,19
2015-11,18
2015-12,43
2016-01,25
2016-02,24
2016-03,20
2016-04,23
2016-05,23
2016-06,21
2016-07,24
2016-08,21
2016-09,20
2016-10,24
2016-11,24
2016-12,25
2017-01,23
2017-02,23
2017-03,22
2017-04,23
2017-05,22
2017-06,22
2017-07,31
2017-08,21
2017-09,18
2017-10,32
2017-11,20
2017-12,22
2018-01,21
2018-02,19
2018-03,21
2018-04,19
2018-05,17
2018-06,17
2018-07,23
2018-08,25
2018-09,19
2018-10,20
2018-11,19
2018-12,18
2019-01,18
2019-02,17
2019-03,18
2019-04,15
2019-05,16
2019-06,17
2019-07,22
2019-08,17
2019-09,22
2019-10,27
2019-11,17
2019-12,16
2020-01,18
2020-02,17
2020-03,15
2020-04,20
2020-05,18
2020-06,16
2020-07,24
2020-08,17
2020-09,15
2020-10,20
2020-11,14
2020-12,15
2021-01,16
2021-02,15
2021-03,14
2021-04,16
2021-05,18
2021-06,23
2021-07,18
2021-08,17
2021-09,15
2021-10,22
2021-11,14
2021-12,14
2022-01,17
2022-02,15
2022-03,15
2022-04,15
2022-05,17
2022-06,16
2022-07,19
2022-08,18
2022-09,16
2022-10,20
2022-11,13
2022-12,14
2023-01,14
2023-02,15
2023-03,14
2023-04,11
2023-05,13
2023-06,15
2023-07,18
2023-08,17
2023-09,16
2023-10,21
2023-11,13
2023-12,11
2024-01,13
2024-02,13
2024-03,14
2024-04,21
2024-05,15
2024-06,13
2024-07,14
2024-08,13
2024-09,15
2024-10,22
2024-11,31
2024-12,15
2025-01,13
2025-02,24
2025-03,15
2025-04,12
2025-05,13
