Category: All categories

Month,alien spacecraft: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,24
2007-08,24
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,26
2008-02,0
2008-03,0
2008-04,0
2008-05,19
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,20
2008-11,0
2008-12,0
2009-01,16
2009-02,24
2009-03,19
2009-04,0
2009-05,22
2009-06,18
2009-07,0
2009-08,0
2009-09,15
2009-10,0
2009-11,46
2009-12,16
2010-01,13
2010-02,13
2010-03,13
2010-04,12
2010-05,18
2010-06,13
2010-07,14
2010-08,0
2010-09,11
2010-10,17
2010-11,0
2010-12,16
2011-01,11
2011-02,15
2011-03,13
2011-04,24
2011-05,13
2011-06,20
2011-07,18
2011-08,22
2011-09,23
2011-10,16
2011-11,16
2011-12,37
2012-01,20
2012-02,19
2012-03,24
2012-04,26
2012-05,20
2012-06,29
2012-07,18
2012-08,13
2012-09,15
2012-10,12
2012-11,18
2012-12,32
2013-01,58
2013-02,32
2013-03,26
2013-04,21
2013-05,16
2013-06,19
2013-07,20
2013-08,18
2013-09,20
2013-10,20
2013-11,17
2013-12,17
2014-01,28
2014-02,11
2014-03,24
2014-04,17
2014-05,20
2014-06,16
2014-07,13
2014-08,13
2014-09,11
2014-10,14
2014-11,9
2014-12,12
2015-01,22
2015-02,10
2015-03,16
2015-04,17
2015-05,17
2015-06,12
2015-07,15
2015-08,16
2015-09,12
2015-10,20
2015-11,24
2015-12,15
2016-01,11
2016-02,16
2016-03,13
2016-04,10
2016-05,17
2016-06,12
2016-07,16
2016-08,13
2016-09,13
2016-10,13
2016-11,12
2016-12,13
2017-01,10
2017-02,21
2017-03,9
2017-04,20
2017-05,14
2017-06,11
2017-07,18
2017-08,14
2017-09,11
2017-10,11
2017-11,14
2017-12,40
2018-01,14
2018-02,15
2018-03,15
2018-04,12
2018-05,11
2018-06,12
2018-07,8
2018-08,10
2018-09,11
2018-10,15
2018-11,100
2018-12,17
2019-01,14
2019-02,22
2019-03,13
2019-04,10
2019-05,11
2019-06,19
2019-07,15
2019-08,12
2019-09,15
2019-10,8
2019-11,12
2019-12,11
2020-01,15
2020-02,11
2020-03,7
2020-04,10
2020-05,11
2020-06,12
2020-07,49
2020-08,26
2020-09,11
2020-10,26
2020-11,13
2020-12,11
2021-01,18
2021-02,13
2021-03,11
2021-04,12
2021-05,18
2021-06,20
2021-07,9
2021-08,10
2021-09,8
2021-10,13
2021-11,7
2021-12,10
2022-01,12
2022-02,13
2022-03,11
2022-04,16
2022-05,12
2022-06,10
2022-07,12
2022-08,10
2022-09,11
2022-10,10
2022-11,7
2022-12,12
2023-01,6
2023-02,19
2023-03,8
2023-04,12
2023-05,11
2023-06,76
2023-07,36
2023-08,18
2023-09,12
2023-10,10
2023-11,11
2023-12,15
2024-01,10
2024-02,13
2024-03,11
2024-04,14
2024-05,11
2024-06,10
2024-07,9
2024-08,7
2024-09,12
2024-10,13
2024-11,16
2024-12,12
2025-01,17
2025-02,15
2025-03,12
2025-04,10
2025-05,12
