Category: All categories

Month,alien encounter: (United States),contact with aliens: (United States)
2004-01,100,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,75,0
2004-12,0,0
2005-01,45,0
2005-02,56,0
2005-03,0,0
2005-04,0,0
2005-05,0,0
2005-06,38,0
2005-07,39,0
2005-08,0,0
2005-09,0,0
2005-10,0,0
2005-11,0,0
2005-12,36,0
2006-01,39,0
2006-02,28,0
2006-03,32,0
2006-04,34,0
2006-05,28,0
2006-06,43,0
2006-07,28,0
2006-08,22,0
2006-09,0,0
2006-10,27,0
2006-11,0,0
2006-12,0,0
2007-01,36,0
2007-02,0,0
2007-03,0,0
2007-04,23,0
2007-05,18,0
2007-06,34,0
2007-07,23,0
2007-08,34,0
2007-09,27,0
2007-10,26,0
2007-11,29,0
2007-12,26,0
2008-01,35,0
2008-02,28,0
2008-03,29,0
2008-04,24,0
2008-05,26,0
2008-06,42,0
2008-07,39,0
2008-08,27,0
2008-09,28,0
2008-10,26,0
2008-11,31,0
2008-12,18,0
2009-01,27,0
2009-02,25,0
2009-03,27,0
2009-04,19,0
2009-05,31,0
2009-06,33,0
2009-07,25,0
2009-08,26,0
2009-09,30,0
2009-10,48,0
2009-11,53,10
2009-12,38,0
2010-01,26,9
2010-02,25,0
2010-03,28,0
2010-04,34,0
2010-05,31,14
2010-06,27,0
2010-07,29,0
2010-08,31,12
2010-09,33,16
2010-10,34,13
2010-11,47,10
2010-12,29,0
2011-01,37,8
2011-02,31,8
2011-03,35,8
2011-04,38,8
2011-05,28,13
2011-06,37,10
2011-07,36,9
2011-08,33,12
2011-09,29,9
2011-10,31,12
2011-11,26,12
2011-12,28,7
2012-01,31,8
2012-02,26,11
2012-03,54,12
2012-04,37,13
2012-05,30,13
2012-06,39,13
2012-07,37,11
2012-08,28,9
2012-09,39,11
2012-10,29,5
2012-11,26,8
2012-12,28,11
2013-01,31,9
2013-02,30,10
2013-03,35,12
2013-04,33,8
2013-05,36,5
2013-06,36,12
2013-07,33,12
2013-08,33,5
2013-09,30,9
2013-10,32,8
2013-11,28,7
2013-12,25,8
2014-01,23,9
2014-02,24,8
2014-03,29,10
2014-04,27,10
2014-05,36,9
2014-06,35,6
2014-07,29,8
2014-08,30,0
2014-09,25,8
2014-10,28,8
2014-11,22,10
2014-12,23,6
2015-01,26,8
2015-02,29,12
2015-03,30,6
2015-04,29,8
2015-05,32,11
2015-06,38,7
2015-07,36,10
2015-08,30,9
2015-09,30,9
2015-10,29,6
2015-11,31,9
2015-12,36,6
2016-01,31,9
2016-02,32,8
2016-03,29,9
2016-04,28,12
2016-05,27,8
2016-06,35,8
2016-07,33,11
2016-08,27,10
2016-09,26,15
2016-10,30,9
2016-11,18,10
2016-12,21,6
2017-01,26,7
2017-02,23,9
2017-03,32,14
2017-04,34,8
2017-05,36,7
2017-06,31,9
2017-07,45,9
2017-08,36,7
2017-09,26,10
2017-10,38,5
2017-11,25,9
2017-12,40,5
2018-01,37,8
2018-02,23,8
2018-03,37,8
2018-04,34,6
2018-05,28,4
2018-06,30,5
2018-07,29,8
2018-08,39,10
2018-09,26,5
2018-10,36,5
2018-11,36,4
2018-12,28,6
2019-01,38,7
2019-02,33,9
2019-03,27,8
2019-04,23,6
2019-05,25,3
2019-06,28,6
2019-07,37,6
2019-08,28,5
2019-09,28,5
2019-10,29,4
2019-11,31,4
2019-12,24,0
2020-01,26,4
2020-02,32,5
2020-03,24,3
2020-04,31,7
2020-05,33,5
2020-06,26,6
2020-07,37,6
2020-08,32,7
2020-09,30,6
2020-10,26,5
2020-11,27,4
2020-12,39,44
2021-01,44,17
2021-02,32,5
2021-03,30,5
2021-04,34,8
2021-05,37,9
2021-06,32,8
2021-07,28,7
2021-08,47,6
2021-09,35,5
2021-10,32,9
2021-11,24,5
2021-12,38,7
2022-01,35,10
2022-02,32,5
2022-03,27,7
2022-04,32,7
2022-05,41,7
2022-06,36,19
2022-07,37,10
2022-08,34,5
2022-09,28,5
2022-10,31,4
2022-11,41,3
2022-12,33,6
2023-01,56,6
2023-02,45,9
2023-03,32,7
2023-04,40,6
2023-05,43,6
2023-06,94,13
2023-07,50,11
2023-08,49,7
2023-09,41,6
2023-10,46,6
2023-11,30,7
2023-12,32,5
2024-01,39,6
2024-02,29,7
2024-03,35,4
2024-04,39,7
2024-05,52,7
2024-06,40,6
2024-07,37,3
2024-08,42,5
2024-09,37,6
2024-10,42,7
2024-11,43,10
2024-12,43,9
2025-01,41,6
2025-02,50,7
2025-03,44,4
2025-04,40,5
2025-05,34,7
