Category: All categories

Month,extraterrestrial: (United States)
2004-01,29
2004-02,42
2004-03,36
2004-04,26
2004-05,28
2004-06,19
2004-07,40
2004-08,20
2004-09,27
2004-10,22
2004-11,27
2004-12,26
2005-01,25
2005-02,30
2005-03,25
2005-04,21
2005-05,31
2005-06,26
2005-07,19
2005-08,20
2005-09,17
2005-10,22
2005-11,21
2005-12,18
2006-01,20
2006-02,24
2006-03,21
2006-04,24
2006-05,23
2006-06,16
2006-07,12
2006-08,14
2006-09,16
2006-10,19
2006-11,23
2006-12,15
2007-01,18
2007-02,18
2007-03,18
2007-04,16
2007-05,22
2007-06,17
2007-07,19
2007-08,14
2007-09,13
2007-10,17
2007-11,17
2007-12,16
2008-01,18
2008-02,17
2008-03,16
2008-04,18
2008-05,23
2008-06,16
2008-07,15
2008-08,13
2008-09,14
2008-10,16
2008-11,18
2008-12,19
2009-01,15
2009-02,16
2009-03,19
2009-04,19
2009-05,17
2009-06,15
2009-07,17
2009-08,18
2009-09,18
2009-10,24
2009-11,26
2009-12,19
2010-01,19
2010-02,18
2010-03,19
2010-04,23
2010-05,21
2010-06,15
2010-07,14
2010-08,15
2010-09,18
2010-10,21
2010-11,24
2010-12,34
2011-01,22
2011-02,27
2011-03,84
2011-04,100
2011-05,66
2011-06,53
2011-07,38
2011-08,33
2011-09,31
2011-10,29
2011-11,28
2011-12,28
2012-01,28
2012-02,26
2012-03,25
2012-04,27
2012-05,27
2012-06,31
2012-07,24
2012-08,24
2012-09,26
2012-10,25
2012-11,23
2012-12,26
2013-01,29
2013-02,43
2013-03,33
2013-04,31
2013-05,28
2013-06,25
2013-07,25
2013-08,22
2013-09,23
2013-10,23
2013-11,28
2013-12,25
2014-01,25
2014-02,26
2014-03,28
2014-04,28
2014-05,24
2014-06,19
2014-07,19
2014-08,22
2014-09,25
2014-10,48
2014-11,40
2014-12,28
2015-01,27
2015-02,28
2015-03,39
2015-04,34
2015-05,60
2015-06,31
2015-07,30
2015-08,25
2015-09,29
2015-10,31
2015-11,29
2015-12,25
2016-01,25
2016-02,27
2016-03,26
2016-04,26
2016-05,27
2016-06,22
2016-07,21
2016-08,25
2016-09,26
2016-10,27
2016-11,22
2016-12,20
2017-01,22
2017-02,25
2017-03,24
2017-04,24
2017-05,24
2017-06,21
2017-07,21
2017-08,23
2017-09,27
2017-10,29
2017-11,31
2017-12,33
2018-01,27
2018-02,24
2018-03,23
2018-04,23
2018-05,23
2018-06,18
2018-07,17
2018-08,17
2018-09,19
2018-10,20
2018-11,24
2018-12,19
2019-01,22
2019-02,20
2019-03,19
2019-04,19
2019-05,21
2019-06,21
2019-07,25
2019-08,19
2019-09,24
2019-10,23
2019-11,18
2019-12,17
2020-01,17
2020-02,19
2020-03,19
2020-04,21
2020-05,21
2020-06,19
2020-07,17
2020-08,17
2020-09,20
2020-10,16
2020-11,14
2020-12,21
2021-01,21
2021-02,20
2021-03,16
2021-04,16
2021-05,18
2021-06,17
2021-07,13
2021-08,14
2021-09,15
2021-10,16
2021-11,13
2021-12,15
2022-01,17
2022-02,18
2022-03,18
2022-04,21
2022-05,20
2022-06,17
2022-07,16
2022-08,16
2022-09,19
2022-10,17
2022-11,17
2022-12,15
2023-01,18
2023-02,27
2023-03,18
2023-04,17
2023-05,17
2023-06,20
2023-07,20
2023-08,19
2023-09,20
2023-10,20
2023-11,16
2023-12,16
2024-01,19
2024-02,18
2024-03,22
2024-04,21
2024-05,18
2024-06,16
2024-07,13
2024-08,14
2024-09,20
2024-10,21
2024-11,23
2024-12,22
2025-01,18
2025-02,20
2025-03,18
2025-04,22
2025-05,44
