Month,Alien abduction (alien_terms),Area 51 (conspiracy-adjacent),Men in Black (conspiracy-adjacent),NASA UFO (government_terms),Project Blue Book (conspiracy-adjacent),Roswell (conspiracy-adjacent),U.F.O. (UFO_keywords),UAP (government_terms),UFO (UFO_keywords),UFO Pentagon (government_terms),UFO conspiracy (conspiracy-adjacent),UFO disclosure (government_terms),UFO documentary (popular_culture),UFO sighting (UFO_keywords),UFO video (popular_culture),UFOs (UFO_keywords),alien encounter (alien_terms),alien movies (popular_culture),alien sightings (popular_culture),alien spacecraft (alien_terms),congress UFO (government_terms),contact with aliens (alien_terms),extraterrestrial (alien_terms),unidentified flying object (UFO_keywords)
2004-01,20,3,9,0,0,46,0,3,33,0,100,0,0,1,10,4,100,8,34,0,0,0,29,0
2004-02,22,3,9,0,0,47,0,4,31,0,0,0,0,1,7,4,0,6,43,0,0,0,42,0
2004-03,24,3,12,0,4,51,59,5,30,0,0,0,0,1,11,4,0,6,51,0,0,0,36,0
2004-04,25,3,11,0,0,47,60,5,30,0,0,0,0,1,7,4,0,8,53,0,0,0,26,0
2004-05,24,3,9,30,4,48,100,6,71,0,0,0,0,5,100,10,0,6,66,0,0,0,28,0
2004-06,24,3,9,0,0,50,50,4,32,0,0,0,0,1,11,3,0,8,29,0,0,0,19,0
2004-07,25,3,11,0,0,59,0,5,32,0,60,70,0,1,11,3,0,11,28,0,0,0,40,0
2004-08,17,3,8,0,0,58,49,4,29,0,58,0,0,1,10,3,0,14,30,0,0,0,20,0
2004-09,24,3,8,0,0,52,42,3,29,0,0,29,0,1,10,3,0,7,56,0,0,0,27,0
2004-10,29,3,10,0,4,50,62,4,30,0,0,0,0,1,12,4,0,5,41,0,0,0,22,0
2004-11,26,4,12,0,3,46,0,6,29,0,66,0,0,1,8,4,75,5,32,0,0,0,27,0
2004-12,23,3,10,28,0,50,0,3,30,0,59,0,0,1,10,4,0,6,45,0,0,0,26,0
2005-01,23,3,8,35,3,48,35,3,29,0,0,0,0,1,8,4,45,7,36,0,0,0,25,0
2005-02,33,4,10,30,5,50,78,5,42,0,0,0,0,1,15,6,56,6,47,0,0,0,30,0
2005-03,23,4,11,31,3,48,68,4,32,0,0,0,0,1,12,5,0,6,33,0,0,0,25,0
2005-04,26,7,10,0,3,52,58,5,28,0,0,0,0,1,9,4,0,6,49,0,0,0,21,0
2005-05,27,9,10,0,3,49,0,4,31,0,0,0,0,1,12,5,0,6,55,0,0,0,31,0
2005-06,26,8,9,0,3,53,37,4,37,0,48,0,0,1,18,4,38,6,48,0,0,0,26,0
2005-07,26,8,9,24,2,50,39,3,32,0,44,0,0,1,11,4,39,7,49,0,0,0,19,0
2005-08,21,6,8,37,2,50,32,6,28,0,48,0,0,1,12,3,0,6,35,0,0,0,20,0
2005-09,21,6,8,21,2,45,48,3,26,0,0,0,0,1,8,3,0,4,34,0,0,0,17,0
2005-10,24,5,9,0,2,45,43,4,28,0,0,0,0,1,9,3,0,5,29,0,0,0,22,0
2005-11,23,4,8,0,2,42,26,5,27,0,0,0,0,1,9,4,0,5,37,0,0,0,21,0
2005-12,23,4,8,27,2,44,30,5,29,0,0,0,0,1,10,4,36,4,27,0,0,0,18,0
2006-01,21,4,8,22,2,46,44,4,24,0,35,0,0,1,9,3,39,5,24,0,0,0,20,0
2006-02,21,4,8,19,2,44,33,4,24,0,0,0,0,1,8,3,28,4,0,0,0,0,24,0
2006-03,18,4,7,28,3,44,49,5,28,0,39,0,0,1,11,4,32,5,37,0,0,0,21,0
2006-04,18,3,7,15,2,46,39,6,24,0,0,0,0,0,9,3,34,4,37,0,0,0,24,0
2006-05,18,3,8,13,2,47,41,6,24,0,25,0,0,1,9,3,28,5,39,0,0,0,23,0
2006-06,18,3,8,23,0,47,30,5,23,0,0,0,0,0,8,3,43,4,28,0,0,0,16,0
2006-07,17,3,8,36,1,46,27,4,23,0,0,0,0,1,10,2,28,4,14,0,0,0,12,0
2006-08,16,3,8,36,1,47,31,5,23,0,25,0,0,1,10,3,22,4,23,0,0,0,14,0
2006-09,14,3,8,67,2,41,33,5,23,0,39,0,0,1,9,3,0,4,25,0,0,0,16,0
2006-10,14,2,9,24,1,42,30,4,22,0,42,0,0,0,8,3,27,5,24,0,0,0,19,0
2006-11,15,3,8,38,2,41,32,4,22,0,0,0,0,1,8,3,0,5,28,0,0,0,23,0
2006-12,15,3,7,36,2,42,37,3,24,0,26,0,0,1,7,3,0,4,19,0,0,0,15,0
2007-01,15,2,11,36,1,42,47,4,50,0,40,0,0,4,15,4,36,4,37,0,5,0,18,0
2007-02,15,2,9,34,2,42,17,4,29,0,26,0,0,1,10,4,0,3,24,0,0,0,18,0
2007-03,18,2,7,30,1,41,33,4,34,0,33,14,0,1,11,4,0,3,30,0,0,0,18,0
2007-04,15,2,6,23,2,41,38,5,26,0,20,0,0,0,9,3,23,4,35,0,0,0,16,0
2007-05,17,3,7,31,2,48,26,5,34,0,0,22,0,1,8,3,18,5,33,0,0,0,22,0
2007-06,17,3,12,25,2,47,28,5,36,0,19,0,0,1,10,3,34,4,37,0,0,0,17,0
2007-07,15,3,8,29,9,61,20,4,32,0,16,16,22,1,8,3,23,4,27,24,0,0,19,0
2007-08,17,2,7,39,7,50,38,4,44,0,34,16,12,1,22,4,34,4,25,24,0,0,14,0
2007-09,15,3,10,23,1,45,32,4,27,0,42,13,0,1,10,3,27,4,28,0,0,0,13,0
2007-10,17,3,8,56,2,43,19,4,30,0,21,11,11,1,9,3,26,5,29,0,0,0,17,0
2007-11,17,4,10,45,5,43,35,4,40,0,28,38,15,1,12,5,29,4,28,0,4,0,17,0
2007-12,15,4,8,38,2,40,32,6,32,0,23,14,13,1,11,4,26,8,28,0,0,0,16,0
2008-01,22,3,9,58,4,47,73,5,100,0,46,22,17,9,39,7,35,8,48,26,3,0,18,0
2008-02,19,3,9,38,2,46,47,5,48,0,27,16,10,2,15,4,28,5,32,0,3,0,17,0
2008-03,19,3,9,28,2,47,36,6,42,0,20,22,12,1,11,4,29,5,33,0,3,0,16,0
2008-04,18,3,9,38,2,46,37,5,42,0,25,13,0,2,13,5,24,5,39,0,0,0,18,0
2008-05,17,3,9,45,2,52,34,5,45,0,26,24,14,1,14,5,26,4,35,19,0,0,23,0
2008-06,18,3,9,37,2,52,22,5,33,0,26,16,14,1,12,4,42,4,39,0,0,0,16,0
2008-07,19,3,10,41,2,52,31,5,40,0,21,31,10,1,13,5,39,5,37,0,0,0,15,0
2008-08,17,3,9,28,1,50,23,5,30,0,20,16,10,1,7,3,27,4,25,0,0,0,13,0
2008-09,15,2,9,27,2,45,22,6,29,0,15,14,11,1,8,3,28,4,21,0,0,0,14,0
2008-10,16,3,12,24,2,44,30,5,40,0,31,16,9,1,12,4,26,5,35,20,0,0,16,0
2008-11,17,3,9,32,2,43,27,5,35,0,43,20,11,1,13,4,31,4,31,0,0,0,18,0
2008-12,16,2,10,32,2,46,27,5,29,0,29,14,0,1,11,3,18,5,26,0,0,0,19,0
2009-01,16,2,9,30,1,48,19,6,38,0,24,28,13,1,13,4,27,5,27,16,0,0,15,0
2009-02,15,3,10,26,1,47,22,7,37,0,20,20,0,1,10,3,25,5,32,24,3,0,16,0
2009-03,16,3,9,29,2,47,29,5,33,0,15,14,13,1,10,4,27,5,26,19,0,0,19,0
2009-04,18,3,9,29,2,45,28,6,33,0,36,25,0,1,8,4,19,5,33,0,0,0,19,0
2009-05,16,3,10,32,2,47,35,5,33,0,26,20,12,1,8,3,31,5,35,22,0,0,17,0
2009-06,18,3,9,32,2,50,17,6,31,0,30,44,9,1,11,3,33,5,19,18,0,0,15,0
2009-07,18,2,10,35,1,48,13,8,29,0,31,23,18,1,9,3,25,7,30,0,0,0,17,0
2009-08,27,3,11,31,2,46,20,8,31,0,34,29,15,1,11,3,26,8,33,0,0,0,18,0
2009-09,28,2,10,41,1,45,16,7,32,0,31,21,9,1,10,3,30,5,48,15,0,0,18,0
