Category: All categories

Month,Roswell: (United States)
2004-01,46
2004-02,47
2004-03,51
2004-04,47
2004-05,48
2004-06,50
2004-07,59
2004-08,58
2004-09,52
2004-10,50
2004-11,46
2004-12,50
2005-01,48
2005-02,50
2005-03,48
2005-04,52
2005-05,49
2005-06,53
2005-07,50
2005-08,50
2005-09,45
2005-10,45
2005-11,42
2005-12,44
2006-01,46
2006-02,44
2006-03,44
2006-04,46
2006-05,47
2006-06,47
2006-07,46
2006-08,47
2006-09,41
2006-10,42
2006-11,41
2006-12,42
2007-01,42
2007-02,42
2007-03,41
2007-04,41
2007-05,48
2007-06,47
2007-07,61
2007-08,50
2007-09,45
2007-10,43
2007-11,43
2007-12,40
2008-01,47
2008-02,46
2008-03,47
2008-04,46
2008-05,52
2008-06,52
2008-07,52
2008-08,50
2008-09,45
2008-10,44
2008-11,43
2008-12,46
2009-01,48
2009-02,47
2009-03,47
2009-04,45
2009-05,47
2009-06,50
2009-07,48
2009-08,46
2009-09,45
2009-10,43
2009-11,40
2009-12,40
2010-01,41
2010-02,43
2010-03,45
2010-04,45
2010-05,50
2010-06,49
2010-07,49
2010-08,49
2010-09,43
2010-10,41
2010-11,41
2010-12,43
2011-01,53
2011-02,54
2011-03,54
2011-04,62
2011-05,61
2011-06,63
2011-07,62
2011-08,62
2011-09,55
2011-10,51
2011-11,50
2011-12,51
2012-01,53
2012-02,54
2012-03,54
2012-04,55
2012-05,60
2012-06,59
2012-07,63
2012-08,57
2012-09,52
2012-10,54
2012-11,49
2012-12,53
2013-01,54
2013-02,58
2013-03,57
2013-04,52
2013-05,59
2013-06,63
2013-07,100
2013-08,64
2013-09,52
2013-10,53
2013-11,53
2013-12,52
2014-01,64
2014-02,55
2014-03,55
2014-04,54
2014-05,63
2014-06,64
2014-07,63
2014-08,60
2014-09,51
2014-10,51
2014-11,49
2014-12,51
2015-01,53
2015-02,54
2015-03,52
2015-04,56
2015-05,62
2015-06,61
2015-07,60
2015-08,60
2015-09,53
2015-10,52
2015-11,48
2015-12,52
2016-01,57
2016-02,57
2016-03,59
2016-04,59
2016-05,62
2016-06,69
2016-07,67
2016-08,69
2016-09,57
2016-10,55
2016-11,54
2016-12,57
2017-01,54
2017-02,56
2017-03,60
2017-04,61
2017-05,61
2017-06,65
2017-07,65
2017-08,57
2017-09,53
2017-10,53
2017-11,51
2017-12,52
2018-01,53
2018-02,54
2018-03,58
2018-04,55
2018-05,58
2018-06,62
2018-07,64
2018-08,56
2018-09,52
2018-10,53
2018-11,50
2018-12,57
2019-01,83
2019-02,67
2019-03,67
2019-04,63
2019-05,77
2019-06,66
2019-07,70
2019-08,58
2019-09,56
2019-10,56
2019-11,50
2019-12,53
2020-01,56
2020-02,55
2020-03,51
2020-04,45
2020-05,53
2020-06,65
2020-07,62
2020-08,51
2020-09,48
2020-10,48
2020-11,44
2020-12,52
2021-01,48
2021-02,50
2021-03,53
2021-04,56
2021-05,56
2021-06,62
2021-07,61
2021-08,61
2021-09,53
2021-10,53
2021-11,56
2021-12,54
2022-01,54
2022-02,54
2022-03,56
2022-04,54
2022-05,57
2022-06,63
2022-07,62
2022-08,58
2022-09,59
2022-10,51
2022-11,48
2022-12,48
2023-01,49
2023-02,50
2023-03,51
2023-04,50
2023-05,51
2023-06,56
2023-07,59
2023-08,51
2023-09,47
2023-10,49
2023-11,45
2023-12,45
2024-01,48
2024-02,47
2024-03,48
2024-04,46
2024-05,48
2024-06,52
2024-07,50
2024-08,47
2024-09,44
2024-10,55
2024-11,42
2024-12,42
2025-01,44
2025-02,46
2025-03,45
2025-04,45
2025-05,51
