Category: All categories

Month,UFO conspiracy: (United States)
2004-01,100
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,60
2004-08,58
2004-09,0
2004-10,0
2004-11,66
2004-12,59
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,48
2005-07,44
2005-08,48
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,35
2006-02,0
2006-03,39
2006-04,0
2006-05,25
2006-06,0
2006-07,0
2006-08,25
2006-09,39
2006-10,42
2006-11,0
2006-12,26
2007-01,40
2007-02,26
2007-03,33
2007-04,20
2007-05,0
2007-06,19
2007-07,16
2007-08,34
2007-09,42
2007-10,21
2007-11,28
2007-12,23
2008-01,46
2008-02,27
2008-03,20
2008-04,25
2008-05,26
2008-06,26
2008-07,21
2008-08,20
2008-09,15
2008-10,31
2008-11,43
2008-12,29
2009-01,24
2009-02,20
2009-03,15
2009-04,36
2009-05,26
2009-06,30
2009-07,31
2009-08,34
2009-09,31
2009-10,38
2009-11,31
2009-12,41
2010-01,29
2010-02,24
2010-03,30
2010-04,30
2010-05,28
2010-06,27
2010-07,33
2010-08,25
2010-09,33
2010-10,49
2010-11,37
2010-12,43
2011-01,35
2011-02,37
2011-03,26
2011-04,37
2011-05,33
2011-06,23
2011-07,27
2011-08,27
2011-09,35
2011-10,20
2011-11,20
2011-12,24
2012-01,24
2012-02,17
2012-03,22
2012-04,23
2012-05,22
2012-06,23
2012-07,30
2012-08,25
2012-09,28
2012-10,24
2012-11,26
2012-12,25
2013-01,20
2013-02,26
2013-03,25
2013-04,23
2013-05,27
2013-06,20
2013-07,16
2013-08,23
2013-09,19
2013-10,23
2013-11,22
2013-12,18
2014-01,20
2014-02,24
2014-03,31
2014-04,30
2014-05,21
2014-06,18
2014-07,15
2014-08,16
2014-09,15
2014-10,19
2014-11,11
2014-12,16
2015-01,19
2015-02,22
2015-03,24
2015-04,13
2015-05,22
2015-06,16
2015-07,13
2015-08,17
2015-09,13
2015-10,18
2015-11,22
2015-12,13
2016-01,20
2016-02,16
2016-03,18
2016-04,17
2016-05,15
2016-06,12
2016-07,13
2016-08,11
2016-09,15
2016-10,29
2016-11,13
2016-12,16
2017-01,12
2017-02,12
2017-03,13
2017-04,13
2017-05,16
2017-06,12
2017-07,17
2017-08,13
2017-09,12
2017-10,16
2017-11,12
2017-12,24
2018-01,12
2018-02,12
2018-03,14
2018-04,14
2018-05,16
2018-06,9
2018-07,7
2018-08,10
2018-09,10
2018-10,9
2018-11,10
2018-12,13
2019-01,13
2019-02,9
2019-03,11
2019-04,10
2019-05,11
2019-06,12
2019-07,12
2019-08,9
2019-09,11
2019-10,12
2019-11,7
2019-12,12
2020-01,7
2020-02,10
2020-03,10
2020-04,21
2020-05,19
2020-06,10
2020-07,17
2020-08,11
2020-09,10
2020-10,6
2020-11,6
2020-12,10
2021-01,10
2021-02,8
2021-03,7
2021-04,10
2021-05,19
2021-06,13
2021-07,7
2021-08,8
2021-09,6
2021-10,6
2021-11,7
2021-12,7
2022-01,7
2022-02,8
2022-03,7
2022-04,8
2022-05,12
2022-06,6
2022-07,7
2022-08,8
2022-09,6
2022-10,6
2022-11,8
2022-12,8
2023-01,8
2023-02,23
2023-03,9
2023-04,8
2023-05,8
2023-06,14
2023-07,17
2023-08,13
2023-09,9
2023-10,6
2023-11,7
2023-12,7
2024-01,11
2024-02,8
2024-03,6
2024-04,11
2024-05,8
2024-06,7
2024-07,7
2024-08,6
2024-09,6
2024-10,6
2024-11,9
2024-12,12
2025-01,9
2025-02,7
2025-03,7
2025-04,7
2025-05,7
