Category: All categories

Month,NASA UFO: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,30
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,28
2005-01,35
2005-02,30
2005-03,31
2005-04,0
2005-05,0
2005-06,0
2005-07,24
2005-08,37
2005-09,21
2005-10,0
2005-11,0
2005-12,27
2006-01,22
2006-02,19
2006-03,28
2006-04,15
2006-05,13
2006-06,23
2006-07,36
2006-08,36
2006-09,67
2006-10,24
2006-11,38
2006-12,36
2007-01,36
2007-02,34
2007-03,30
2007-04,23
2007-05,31
2007-06,25
2007-07,29
2007-08,39
2007-09,23
2007-10,56
2007-11,45
2007-12,38
2008-01,58
2008-02,38
2008-03,28
2008-04,38
2008-05,45
2008-06,37
2008-07,41
2008-08,28
2008-09,27
2008-10,24
2008-11,32
2008-12,32
2009-01,30
2009-02,26
2009-03,29
2009-04,29
2009-05,32
2009-06,32
2009-07,35
2009-08,31
2009-09,41
2009-10,36
2009-11,30
2009-12,36
2010-01,33
2010-02,31
2010-03,26
2010-04,41
2010-05,36
2010-06,28
2010-07,32
2010-08,28
2010-09,29
2010-10,42
2010-11,31
2010-12,51
2011-01,38
2011-02,34
2011-03,36
2011-04,43
2011-05,29
2011-06,31
2011-07,32
2011-08,38
2011-09,33
2011-10,26
2011-11,24
2011-12,64
2012-01,37
2012-02,22
2012-03,32
2012-04,57
2012-05,37
2012-06,26
2012-07,26
2012-08,34
2012-09,29
2012-10,22
2012-11,31
2012-12,38
2013-01,27
2013-02,19
2013-03,19
2013-04,20
2013-05,21
2013-06,20
2013-07,18
2013-08,20
2013-09,16
2013-10,18
2013-11,16
2013-12,15
2014-01,23
2014-02,25
2014-03,22
2014-04,26
2014-05,23
2014-06,25
2014-07,23
2014-08,24
2014-09,18
2014-10,47
2014-11,32
2014-12,26
2015-01,59
2015-02,23
2015-03,24
2015-04,20
2015-05,17
2015-06,58
2015-07,49
2015-08,33
2015-09,27
2015-10,21
2015-11,63
2015-12,18
2016-01,18
2016-02,20
2016-03,17
2016-04,31
2016-05,21
2016-06,18
2016-07,100
2016-08,19
2016-09,20
2016-10,26
2016-11,21
2016-12,16
2017-01,19
2017-02,32
2017-03,22
2017-04,23
2017-05,20
2017-06,15
2017-07,14
2017-08,13
2017-09,10
2017-10,10
2017-11,12
2017-12,41
2018-01,15
2018-02,9
2018-03,12
2018-04,9
2018-05,7
2018-06,8
2018-07,7
2018-08,8
2018-09,8
2018-10,9
2018-11,21
2018-12,11
2019-01,10
2019-02,7
2019-03,7
2019-04,7
2019-05,8
2019-06,14
2019-07,10
2019-08,7
2019-09,15
2019-10,9
2019-11,10
2019-12,9
2020-01,9
2020-02,44
2020-03,24
2020-04,39
2020-05,56
2020-06,27
2020-07,28
2020-08,17
2020-09,14
2020-10,10
2020-11,8
2020-12,11
2021-01,10
2021-02,10
2021-03,8
2021-04,21
2021-05,19
2021-06,24
2021-07,10
2021-08,8
2021-09,4
2021-10,8
2021-11,8
2021-12,12
2022-01,12
2022-02,8
2022-03,5
2022-04,8
2022-05,15
2022-06,26
2022-07,20
2022-08,12
2022-09,12
2022-10,23
2022-11,10
2022-12,8
2023-01,7
2023-02,12
2023-03,10
2023-04,6
2023-05,30
2023-06,75
2023-07,20
2023-08,16
2023-09,69
2023-10,9
2023-11,7
2023-12,6
2024-01,8
2024-02,11
2024-03,6
2024-04,8
2024-05,7
2024-06,5
2024-07,6
2024-08,5
2024-09,7
2024-10,4
2024-11,10
2024-12,9
2025-01,7
2025-02,9
2025-03,6
2025-04,4
2025-05,10
