Category: All categories

Month,UAP: (United States)
2004-01,3
2004-02,4
2004-03,5
2004-04,5
2004-05,6
2004-06,4
2004-07,5
2004-08,4
2004-09,3
2004-10,4
2004-11,6
2004-12,3
2005-01,3
2005-02,5
2005-03,4
2005-04,5
2005-05,4
2005-06,4
2005-07,3
2005-08,6
2005-09,3
2005-10,4
2005-11,5
2005-12,5
2006-01,4
2006-02,4
2006-03,5
2006-04,6
2006-05,6
2006-06,5
2006-07,4
2006-08,5
2006-09,5
2006-10,4
2006-11,4
2006-12,3
2007-01,4
2007-02,4
2007-03,4
2007-04,5
2007-05,5
2007-06,5
2007-07,4
2007-08,4
2007-09,4
2007-10,4
2007-11,4
2007-12,6
2008-01,5
2008-02,5
2008-03,6
2008-04,5
2008-05,5
2008-06,5
2008-07,5
2008-08,5
2008-09,6
2008-10,5
2008-11,5
2008-12,5
2009-01,6
2009-02,7
2009-03,5
2009-04,6
2009-05,5
2009-06,6
2009-07,8
2009-08,8
2009-09,7
2009-10,6
2009-11,6
2009-12,7
2010-01,7
2010-02,7
2010-03,9
2010-04,8
2010-05,7
2010-06,8
2010-07,9
2010-08,12
2010-09,11
2010-10,9
2010-11,9
2010-12,10
2011-01,3
2011-02,3
2011-03,3
2011-04,3
2011-05,2
2011-06,2
2011-07,3
2011-08,3
2011-09,3
2011-10,3
2011-11,3
2011-12,2
2012-01,3
2012-02,3
2012-03,3
2012-04,3
2012-05,3
2012-06,3
2012-07,3
2012-08,3
2012-09,3
2012-10,3
2012-11,3
2012-12,2
2013-01,3
2013-02,3
2013-03,3
2013-04,3
2013-05,3
2013-06,3
2013-07,3
2013-08,3
2013-09,3
2013-10,3
2013-11,3
2013-12,2
2014-01,3
2014-02,4
2014-03,4
2014-04,3
2014-05,4
2014-06,4
2014-07,4
2014-08,6
2014-09,5
2014-10,5
2014-11,5
2014-12,5
2015-01,5
2015-02,6
2015-03,6
2015-04,6
2015-05,5
2015-06,5
2015-07,5
2015-08,6
2015-09,6
2015-10,7
2015-11,7
2015-12,7
2016-01,5
2016-02,5
2016-03,5
2016-04,5
2016-05,5
2016-06,5
2016-07,4
2016-08,5
2016-09,5
2016-10,5
2016-11,4
2016-12,4
2017-01,5
2017-02,5
2017-03,6
2017-04,5
2017-05,6
2017-06,5
2017-07,5
2017-08,6
2017-09,6
2017-10,6
2017-11,5
2017-12,5
2018-01,6
2018-02,5
2018-03,5
2018-04,5
2018-05,6
2018-06,5
2018-07,5
2018-08,5
2018-09,6
2018-10,6
2018-11,5
2018-12,5
2019-01,6
2019-02,5
2019-03,5
2019-04,5
2019-05,6
2019-06,6
2019-07,5
2019-08,5
2019-09,9
2019-10,6
2019-11,5
2019-12,5
2020-01,6
2020-02,5
2020-03,4
2020-04,6
2020-05,6
2020-06,6
2020-07,6
2020-08,7
2020-09,8
2020-10,6
2020-11,5
2020-12,7
2021-01,7
2021-02,6
2021-03,6
2021-04,10
2021-05,30
2021-06,36
2021-07,18
2021-08,12
2021-09,9
2021-10,8
2021-11,8
2021-12,8
2022-01,8
2022-02,10
2022-03,9
2022-04,9
2022-05,22
2022-06,15
2022-07,18
2022-08,17
2022-09,15
2022-10,16
2022-11,15
2022-12,13
2023-01,14
2023-02,21
2023-03,14
2023-04,17
2023-05,16
2023-06,41
2023-07,100
2023-08,40
2023-09,36
2023-10,20
2023-11,17
2023-12,19
2024-01,28
2024-02,17
2024-03,15
2024-04,17
2024-05,18
2024-06,18
2024-07,13
2024-08,16
2024-09,18
2024-10,22
2024-11,89
2024-12,67
2025-01,39
2025-02,25
2025-03,18
2025-04,15
2025-05,21
