Category: All categories

Month,UFO disclosure: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,70
2004-08,0
2004-09,29
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,14
2007-04,0
2007-05,22
2007-06,0
2007-07,16
2007-08,16
2007-09,13
2007-10,11
2007-11,38
2007-12,14
2008-01,22
2008-02,16
2008-03,22
2008-04,13
2008-05,24
2008-06,16
2008-07,31
2008-08,16
2008-09,14
2008-10,16
2008-11,20
2008-12,14
2009-01,28
2009-02,20
2009-03,14
2009-04,25
2009-05,20
2009-06,44
2009-07,23
2009-08,29
2009-09,21
2009-10,46
2009-11,80
2009-12,51
2010-01,30
2010-02,34
2010-03,27
2010-04,37
2010-05,43
2010-06,38
2010-07,52
2010-08,39
2010-09,66
2010-10,93
2010-11,51
2010-12,90
2011-01,85
2011-02,60
2011-03,54
2011-04,58
2011-05,44
2011-06,39
2011-07,44
2011-08,46
2011-09,35
2011-10,34
2011-11,30
2011-12,29
2012-01,29
2012-02,30
2012-03,26
2012-04,25
2012-05,27
2012-06,24
2012-07,31
2012-08,27
2012-09,21
2012-10,19
2012-11,21
2012-12,21
2013-01,19
2013-02,18
2013-03,23
2013-04,32
2013-05,43
2013-06,67
2013-07,35
2013-08,26
2013-09,18
2013-10,19
2013-11,13
2013-12,15
2014-01,18
2014-02,17
2014-03,19
2014-04,15
2014-05,15
2014-06,11
2014-07,15
2014-08,9
2014-09,9
2014-10,10
2014-11,13
2014-12,11
2015-01,14
2015-02,25
2015-03,13
2015-04,9
2015-05,13
2015-06,11
2015-07,15
2015-08,13
2015-09,12
2015-10,12
2015-11,10
2015-12,9
2016-01,15
2016-02,15
2016-03,12
2016-04,14
2016-05,14
2016-06,14
2016-07,15
2016-08,13
2016-09,11
2016-10,19
2016-11,23
2016-12,12
2017-01,16
2017-02,12
2017-03,10
2017-04,8
2017-05,11
2017-06,10
2017-07,11
2017-08,8
2017-09,7
2017-10,7
2017-11,6
2017-12,100
2018-01,18
2018-02,10
2018-03,11
2018-04,8
2018-05,9
2018-06,8
2018-07,5
2018-08,4
2018-09,5
2018-10,5
2018-11,5
2018-12,4
2019-01,8
2019-02,5
2019-03,3
2019-04,3
2019-05,7
2019-06,16
2019-07,9
2019-08,5
2019-09,7
2019-10,6
2019-11,4
2019-12,4
2020-01,6
2020-02,4
2020-03,2
2020-04,9
2020-05,17
2020-06,5
2020-07,18
2020-08,11
2020-09,5
2020-10,4
2020-11,4
2020-12,38
2021-01,43
2021-02,14
2021-03,14
2021-04,20
2021-05,50
2021-06,72
2021-07,10
2021-08,8
2021-09,6
2021-10,5
2021-11,5
2021-12,4
2022-01,5
2022-02,3
2022-03,4
2022-04,4
2022-05,9
2022-06,5
2022-07,4
2022-08,4
2022-09,2
2022-10,2
2022-11,3
2022-12,2
2023-01,4
2023-02,6
2023-03,9
2023-04,12
2023-05,11
2023-06,32
2023-07,47
2023-08,14
2023-09,9
2023-10,5
2023-11,7
2023-12,10
2024-01,6
2024-02,6
2024-03,4
2024-04,4
2024-05,5
2024-06,5
2024-07,4
2024-08,5
2024-09,5
2024-10,7
2024-11,13
2024-12,11
2025-01,30
2025-02,14
2025-03,28
2025-04,10
2025-05,16
