Category: All categories

Month,UFO documentary: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,22
2007-08,12
2007-09,0
2007-10,11
2007-11,15
2007-12,13
2008-01,17
2008-02,10
2008-03,12
2008-04,0
2008-05,14
2008-06,14
2008-07,10
2008-08,10
2008-09,11
2008-10,9
2008-11,11
2008-12,0
2009-01,13
2009-02,0
2009-03,13
2009-04,0
2009-05,12
2009-06,9
2009-07,18
2009-08,15
2009-09,9
2009-10,12
2009-11,11
2009-12,17
2010-01,18
2010-02,10
2010-03,13
2010-04,15
2010-05,16
2010-06,21
2010-07,22
2010-08,18
2010-09,26
2010-10,29
2010-11,23
2010-12,20
2011-01,21
2011-02,19
2011-03,22
2011-04,31
2011-05,15
2011-06,20
2011-07,23
2011-08,26
2011-09,21
2011-10,24
2011-11,15
2011-12,20
2012-01,20
2012-02,18
2012-03,23
2012-04,23
2012-05,24
2012-06,28
2012-07,30
2012-08,23
2012-09,26
2012-10,22
2012-11,21
2012-12,20
2013-01,19
2013-02,25
2013-03,27
2013-04,32
2013-05,27
2013-06,25
2013-07,26
2013-08,23
2013-09,22
2013-10,20
2013-11,22
2013-12,18
2014-01,24
2014-02,24
2014-03,22
2014-04,20
2014-05,21
2014-06,25
2014-07,18
2014-08,18
2014-09,15
2014-10,17
2014-11,17
2014-12,17
2015-01,21
2015-02,17
2015-03,18
2015-04,20
2015-05,19
2015-06,15
2015-07,23
2015-08,21
2015-09,14
2015-10,14
2015-11,19
2015-12,11
2016-01,16
2016-02,16
2016-03,13
2016-04,12
2016-05,16
2016-06,19
2016-07,15
2016-08,13
2016-09,12
2016-10,14
2016-11,12
2016-12,13
2017-01,13
2017-02,15
2017-03,14
2017-04,15
2017-05,19
2017-06,18
2017-07,38
2017-08,19
2017-09,24
2017-10,17
2017-11,14
2017-12,27
2018-01,21
2018-02,14
2018-03,16
2018-04,12
2018-05,12
2018-06,10
2018-07,12
2018-08,10
2018-09,9
2018-10,11
2018-11,9
2018-12,14
2019-01,15
2019-02,12
2019-03,12
2019-04,16
2019-05,16
2019-06,36
2019-07,34
2019-08,16
2019-09,14
2019-10,15
2019-11,13
2019-12,13
2020-01,13
2020-02,14
2020-03,11
2020-04,21
2020-05,28
2020-06,18
2020-07,37
2020-08,26
2020-09,21
2020-10,58
2020-11,22
2020-12,38
2021-01,41
2021-02,29
2021-03,22
2021-04,32
2021-05,53
2021-06,46
2021-07,41
2021-08,81
2021-09,26
2021-10,23
2021-11,20
2021-12,24
2022-01,26
2022-02,25
2022-03,20
2022-04,22
2022-05,27
2022-06,29
2022-07,30
2022-08,37
2022-09,24
2022-10,23
2022-11,23
2022-12,25
2023-01,23
2023-02,33
2023-03,20
2023-04,100
2023-05,71
2023-06,64
2023-07,64
2023-08,44
2023-09,34
2023-10,29
2023-11,18
2023-12,20
2024-01,34
2024-02,23
2024-03,19
2024-04,17
2024-05,12
2024-06,18
2024-07,14
2024-08,18
2024-09,16
2024-10,15
2024-11,38
2024-12,72
2025-01,62
2025-02,36
2025-03,49
2025-04,23
2025-05,30
