Category: All categories

Month,alien movies: (United States)
2004-01,8
2004-02,6
2004-03,6
2004-04,8
2004-05,6
2004-06,8
2004-07,11
2004-08,14
2004-09,7
2004-10,5
2004-11,5
2004-12,6
2005-01,7
2005-02,6
2005-03,6
2005-04,6
2005-05,6
2005-06,6
2005-07,7
2005-08,6
2005-09,4
2005-10,5
2005-11,5
2005-12,4
2006-01,5
2006-02,4
2006-03,5
2006-04,4
2006-05,5
2006-06,4
2006-07,4
2006-08,4
2006-09,4
2006-10,5
2006-11,5
2006-12,4
2007-01,4
2007-02,3
2007-03,3
2007-04,4
2007-05,5
2007-06,4
2007-07,4
2007-08,4
2007-09,4
2007-10,5
2007-11,4
2007-12,8
2008-01,8
2008-02,5
2008-03,5
2008-04,5
2008-05,4
2008-06,4
2008-07,5
2008-08,4
2008-09,4
2008-10,5
2008-11,4
2008-12,5
2009-01,5
2009-02,5
2009-03,5
2009-04,5
2009-05,5
2009-06,5
2009-07,7
2009-08,8
2009-09,5
2009-10,8
2009-11,8
2009-12,7
2010-01,6
2010-02,6
2010-03,6
2010-04,5
2010-05,6
2010-06,6
2010-07,7
2010-08,6
2010-09,6
2010-10,7
2010-11,8
2010-12,6
2011-01,8
2011-02,11
2011-03,11
2011-04,9
2011-05,8
2011-06,9
2011-07,9
2011-08,9
2011-09,7
2011-10,8
2011-11,7
2011-12,9
2012-01,9
2012-02,8
2012-03,9
2012-04,9
2012-05,10
2012-06,21
2012-07,11
2012-08,8
2012-09,8
2012-10,10
2012-11,8
2012-12,8
2013-01,8
2013-02,10
2013-03,9
2013-04,9
2013-05,8
2013-06,10
2013-07,10
2013-08,9
2013-09,8
2013-10,8
2013-11,8
2013-12,9
2014-01,9
2014-02,9
2014-03,8
2014-04,10
2014-05,9
2014-06,9
2014-07,9
2014-08,9
2014-09,7
2014-10,10
2014-11,8
2014-12,8
2015-01,10
2015-02,9
2015-03,9
2015-04,8
2015-05,9
2015-06,9
2015-07,10
2015-08,10
2015-09,9
2015-10,9
2015-11,9
2015-12,9
2016-01,9
2016-02,9
2016-03,8
2016-04,9
2016-05,9
2016-06,10
2016-07,10
2016-08,9
2016-09,8
2016-10,10
2016-11,11
2016-12,12
2017-01,13
2017-02,14
2017-03,15
2017-04,17
2017-05,51
2017-06,25
2017-07,21
2017-08,19
2017-09,15
2017-10,12
2017-11,11
2017-12,12
2018-01,11
2018-02,12
2018-03,14
2018-04,13
2018-05,11
2018-06,15
2018-07,13
2018-08,12
2018-09,12
2018-10,11
2018-11,10
2018-12,12
2019-01,11
2019-02,10
2019-03,11
2019-04,10
2019-05,10
2019-06,11
2019-07,15
2019-08,11
2019-09,10
2019-10,11
2019-11,9
2019-12,9
2020-01,10
2020-02,11
2020-03,11
2020-04,14
2020-05,15
2020-06,13
2020-07,13
2020-08,12
2020-09,12
2020-10,14
2020-11,11
2020-12,13
2021-01,15
2021-02,13
2021-03,13
2021-04,12
2021-05,14
2021-06,13
2021-07,15
2021-08,13
2021-09,11
2021-10,13
2021-11,11
2021-12,11
2022-01,14
2022-02,12
2022-03,11
2022-04,12
2022-05,12
2022-06,14
2022-07,15
2022-08,22
2022-09,13
2022-10,13
2022-11,10
2022-12,11
2023-01,13
2023-02,13
2023-03,12
2023-04,13
2023-05,12
2023-06,14
2023-07,19
2023-08,16
2023-09,16
2023-10,16
2023-11,15
2023-12,15
2024-01,15
2024-02,15
2024-03,15
2024-04,14
2024-05,13
2024-06,17
2024-07,25
2024-08,100
2024-09,45
2024-10,29
2024-11,28
2024-12,24
2025-01,18
2025-02,15
2025-03,15
2025-04,18
2025-05,18
