Category: All categories

Month,alien sightings: (United States)
2004-01,34
2004-02,43
2004-03,51
2004-04,53
2004-05,66
2004-06,29
2004-07,28
2004-08,30
2004-09,56
2004-10,41
2004-11,32
2004-12,45
2005-01,36
2005-02,47
2005-03,33
2005-04,49
2005-05,55
2005-06,48
2005-07,49
2005-08,35
2005-09,34
2005-10,29
2005-11,37
2005-12,27
2006-01,24
2006-02,0
2006-03,37
2006-04,37
2006-05,39
2006-06,28
2006-07,14
2006-08,23
2006-09,25
2006-10,24
2006-11,28
2006-12,19
2007-01,37
2007-02,24
2007-03,30
2007-04,35
2007-05,33
2007-06,37
2007-07,27
2007-08,25
2007-09,28
2007-10,29
2007-11,28
2007-12,28
2008-01,48
2008-02,32
2008-03,33
2008-04,39
2008-05,35
2008-06,39
2008-07,37
2008-08,25
2008-09,21
2008-10,35
2008-11,31
2008-12,26
2009-01,27
2009-02,32
2009-03,26
2009-04,33
2009-05,35
2009-06,19
2009-07,30
2009-08,33
2009-09,48
2009-10,50
2009-11,50
2009-12,35
2010-01,28
2010-02,31
2010-03,42
2010-04,47
2010-05,51
2010-06,29
2010-07,44
2010-08,31
2010-09,34
2010-10,63
2010-11,39
2010-12,42
2011-01,49
2011-02,44
2011-03,54
2011-04,75
2011-05,56
2011-06,44
2011-07,47
2011-08,49
2011-09,43
2011-10,41
2011-11,43
2011-12,43
2012-01,43
2012-02,38
2012-03,33
2012-04,40
2012-05,42
2012-06,46
2012-07,41
2012-08,36
2012-09,38
2012-10,33
2012-11,41
2012-12,45
2013-01,34
2013-02,32
2013-03,36
2013-04,34
2013-05,36
2013-06,36
2013-07,39
2013-08,33
2013-09,29
2013-10,35
2013-11,32
2013-12,33
2014-01,48
2014-02,37
2014-03,44
2014-04,45
2014-05,44
2014-06,39
2014-07,36
2014-08,35
2014-09,35
2014-10,30
2014-11,29
2014-12,33
2015-01,35
2015-02,32
2015-03,34
2015-04,38
2015-05,36
2015-06,30
2015-07,33
2015-08,35
2015-09,33
2015-10,30
2015-11,100
2015-12,32
2016-01,32
2016-02,33
2016-03,32
2016-04,31
2016-05,36
2016-06,27
2016-07,31
2016-08,29
2016-09,28
2016-10,33
2016-11,28
2016-12,27
2017-01,29
2017-02,27
2017-03,29
2017-04,31
2017-05,34
2017-06,25
2017-07,29
2017-08,24
2017-09,25
2017-10,25
2017-11,25
2017-12,45
2018-01,25
2018-02,22
2018-03,26
2018-04,24
2018-05,20
2018-06,16
2018-07,16
2018-08,18
2018-09,17
2018-10,20
2018-11,20
2018-12,16
2019-01,20
2019-02,19
2019-03,17
2019-04,16
2019-05,18
2019-06,26
2019-07,34
2019-08,18
2019-09,24
2019-10,18
2019-11,12
2019-12,16
2020-01,17
2020-02,14
2020-03,15
2020-04,24
2020-05,25
2020-06,22
2020-07,23
2020-08,16
2020-09,26
2020-10,15
2020-11,12
2020-12,22
2021-01,27
2021-02,21
2021-03,14
2021-04,22
2021-05,31
2021-06,28
2021-07,16
2021-08,14
2021-09,10
2021-10,12
2021-11,11
2021-12,12
2022-01,17
2022-02,11
2022-03,12
2022-04,13
2022-05,15
2022-06,15
2022-07,14
2022-08,13
2022-09,13
2022-10,12
2022-11,11
2022-12,11
2023-01,11
2023-02,26
2023-03,14
2023-04,14
2023-05,11
2023-06,62
2023-07,33
2023-08,27
2023-09,20
2023-10,18
2023-11,11
2023-12,8
2024-01,22
2024-02,11
2024-03,10
2024-04,11
2024-05,13
2024-06,10
2024-07,9
2024-08,9
2024-09,8
2024-10,9
2024-11,17
2024-12,38
2025-01,15
2025-02,12
2025-03,12
2025-04,11
2025-05,12
